timestamp,player,opponent,role,winner,reaction_time_ms,false_start,score1,score2,match_complete
2026-05-05 17:27:06,N,E,P1,E,0,0,0,1,0
2026-05-05 17:27:24,N,E,P1,N,0,0,1,1,0
2026-05-05 17:27:26,N,E,P1,N,0,0,2,1,0
2026-05-05 17:27:33,N,E,P1,E,0,0,2,2,0
2026-05-05 17:27:55,N,E,P1,N,0,0,3,2,0
2026-05-05 17:28:00,N,E,P1,N,,,3,2,1
2026-05-05 17:28:10,N,E,P1,N,826,0,1,0,0
2026-05-05 17:28:25,N,E,P1,E,0,0,1,1,0
2026-05-05 17:28:41,N,E,P1,N,852,0,2,1,0
2026-05-05 17:28:52,N,E,P1,E,0,0,2,2,0
2026-05-05 17:29:04,N,E,P1,N,897,0,3,2,0
2026-05-05 17:29:17,N,E,P1,N,,,0,0,1
2026-05-05 17:29:20,N,E,P1,E,0,0,0,1,0
2026-05-05 17:29:33,N,E,P1,E,0,1,0,2,0
2026-05-05 17:29:37,N,E,P1,E,0,0,0,3,0
2026-05-05 17:29:44,N,E,P1,E,,,0,0,1
2026-05-05 17:29:47,N,E,P1,E,0,0,0,1,0
2026-05-05 17:29:51,N,E,P1,N,1292,0,1,1,0
2026-05-05 17:30:05,N,E,P1,E,0,0,1,2,0
2026-05-05 17:30:21,N,E,P1,N,741,0,2,2,0
2026-05-05 17:30:33,N,E,P1,E,0,0,2,3,0
2026-05-07 14:42:05,N,E,P1,E,0,0,0,1,0
2026-05-07 14:42:12,N,E,P1,N,0,0,1,1,0
2026-05-07 14:42:18,N,E,P1,E,0,0,1,2,0
2026-05-07 14:42:22,N,E,P1,E,0,0,1,3,0
2026-05-07 14:42:27,N,E,P1,E,,,1,3,1
2026-05-07 15:42:40,N,E,P1,N,811,0,1,0,0
2026-05-07 15:42:57,N,E,P1,E,0,1,1,1,0
2026-05-07 15:43:15,N,E,P1,N,706,0,2,1,0
2026-05-07 15:43:25,N,E,P1,N,1386,0,3,1,0
2026-05-07 15:43:30,N,E,P1,N,,,3,1,1
2026-05-07 15:43:44,N,E,P1,E,0,1,0,1,0
2026-05-07 15:43:59,N,E,P1,E,0,1,0,2,0
2026-05-07 15:44:04,N,E,P1,E,0,1,0,3,0
2026-05-07 15:44:09,N,E,P1,E,,,0,3,1
2026-05-07 15:44:35,N,E,P1,E,0,1,0,1,0
2026-05-07 15:44:38,N,E,P1,E,0,1,0,2,0
2026-05-07 15:44:39,N,E,P1,E,0,1,0,3,0
2026-05-07 15:44:45,N,E,P1,E,,,0,3,1
2026-05-07 15:45:05,N,E,P1,E,0,1,0,1,0
2026-05-07 15:45:10,N,E,P1,E,0,1,0,2,0
2026-05-07 15:45:14,N,E,P1,E,0,1,0,3,0
2026-05-07 15:45:19,N,E,P1,E,,,0,3,1
2026-05-07 15:45:34,N,E,P1,N,274,0,1,0,0
2026-05-07 15:45:50,N,E,P1,N,694,0,2,0,0
2026-05-07 15:46:01,N,E,P1,N,583,0,3,0,0
2026-05-07 15:46:07,N,E,P1,N,,,0,0,1
2026-05-07 15:46:30,N,E,P1,E,0,0,0,1,0
2026-05-07 15:46:54,N,E,P1,N,2386,0,1,1,0
2026-05-07 15:47:01,N,E,P1,N,2287,0,2,1,0
2026-05-07 15:47:08,N,E,P1,N,0,0,3,1,0
2026-05-07 15:47:14,N,E,P1,N,,,3,1,1
2026-05-07 15:47:23,N,E,P1,E,0,0,0,1,0
2026-05-07 15:47:32,N,E,P1,E,0,0,0,2,0
2026-05-07 15:47:41,N,E,P1,N,603,0,1,2,0
2026-05-07 15:47:45,N,E,P1,E,0,1,1,3,0
2026-05-07 15:47:51,N,E,P1,E,,,1,3,1
2026-05-07 16:47:26,N,E,P1,N,0,0,1,0,0
2026-05-07 16:47:35,N,E,P1,E,0,0,0,1,0
2026-05-07 16:47:43,N,E,P1,N,1404,0,1,1,0
2026-05-07 16:47:48,N,E,P1,E,0,1,1,2,0
2026-05-07 16:47:53,N,E,P1,E,0,1,1,3,0
2026-05-07 16:48:01,N,E,P1,E,,,1,3,1
2026-05-07 16:49:14,N,E,P1,N,974,0,1,0,0
2026-05-07 16:49:30,N,E,P1,E,0,1,1,1,0
2026-05-07 16:49:53,N,E,P1,E,0,0,1,2,0
2026-05-07 16:50:35,N,E,P1,E,0,0,1,3,0
2026-05-07 16:50:40,N,E,P1,E,,,1,3,1
